product_code,product_name,cat_name,subcat_name,description,brand_name,unit_name,buy_price,sell_price,min_stock
8901314114419,Colgate Maxfresh.,Tooth paste,,,ACI,PCS,115,130,
8901314010025,Colgate Strong Teeth,Tooth paste,,,ACI,PCS,106.19,120,
8901314009586,Colgate Active Salt 100g,Tooth paste,,,ACI,PCS,61.95,70,
18653005365,Sensodyne ,Tooth paste,,,Other Brand ,PCS,120,250,
5000198209853,Sensodyne gel,Tooth paste,,,Other Brand ,PCS,90,250,
8991102100861,Formula 160g,Tooth paste,,,Smart Distribution ,PCS,170,215,
4902430663809,Oral-b pro health,Toilet brush,,,PNG Ltd ,PCS,98.21,130,
8902714330072,Dabur Maswak ( 200g),Tooth paste,,,Dabur ,PCS,98,110,
8801046241912,2080,Tooth paste,,,\N,PCS,100,150,
8801046847961,2080 (pink),Tooth paste,,,Other Brand ,PCS,120,150,
8941100501214,Meril Baby pest (straw),Tooth paste,,,Square Ltd,PCS,56,70,
813903000264,Savlon Cream ( 60g),Antiseptic,,,ACI,PCS,30.3,34,
813903000271,Savlon Cream ( 30g),Antiseptic,,,ACI,PCS,22.3,25,
8901012133057,Listerine ,Antiseptic,,,Johmsons ,PCS,180,225,
4902430555470,Oral -B,Tooth Brash ,,,PNG Ltd ,PCS,98,130,
4902430605878,Oral -B (M) ,Tooth Brash ,,,PNG Ltd ,PCS,34,42,
9556311891338,Prondentialb Baby ,Tooth Brash ,,,Trade Worth Ltd,PCS,45,65,
9556311891161,Prodential-b  Altra ,Tooth Brash ,,,Trade Worth Ltd,PCS,35,60,
8901571005383,Sensodyne Brush ,Tooth Brash ,,,Other Brand ,PCS,64,80,
4902430555708,Oral -B Classic ,Tooth Brash ,,,PNG Ltd ,PCS,30,40,
8901396351801,Veet cream Dry 25g ,Cosmetice,,,Reckit Benkitser,PCS,79.69,90,
8908001158022,White tone face powder 70gm,Cosmetice,,,Vini Cosmetic Ltd,PCS,135,180,
Peanun candy,Peanut candy,Cosmetice,,,Indial Brand,PCS,105,130,
8941100640975,Wheeel  Bar ,soap,,,unilever LTD,PCS,14.609,16,
8941183005142,Fay Air Freshener (Lime),Air Freshner ,,,Kollol Group,PCS,180,200,
8513690310141,Tibet Ball ,soap,,,Tibet ,PCS,10.9,15,
8941124000755,Keya Ball ,soap,,,\N,PCS,14,17,
8513690193140,Tibet 570 Ball ,soap,,,Tibet ,PCS,13.43,16,
8941100632291,Vim Var NIM ,soap,,,unilever LTD,PCS,31,35,
8941102833351,Trix Dish wash ,soap,,,Reckit Benkitser,PCS,25.095,30,
8941100617649,Vim Bar (325GM),soap,,,unilever LTD,PCS,27,30,
8941100617700,Vim Bar (125GM),soap,,,unilever LTD,PCS,10.83,12,
8941100610770,Vim Powder (500gm),Ditergent ,,,unilever LTD,PCS,27,30,
8941100282120,Harpic Total (400gm),Ditergent ,,,Reckit Benkitser,PCS,63,70,
200812190302,Rok Bleaching Powder (200gm),Ditergent ,,,Trade Worth Ltd,PCS,15,22,
8941183001045,Jet Powder (50gm),Ditergent ,,,Kollol Group,PCS,45,50,
8941183001076,Jet Powder (1000gm),Ditergent ,,,Kollol Group,PCS,181,200,
8941100501061,Kool citrus beat ,Corn Flour,,,Square Ltd,PCS,180,220,
76416003658,Rinso Fabric Softener (825gm),Ditergent ,,,Other Brand ,PCS,200,250,
8941100501276,Sepnil (180ml),Hand Wash,,,Square Ltd,PCS,42.92,55,
8941102833238,Dettol Hand Wash (170ml),Hand Wash,,,Reckit Benkitser,PCS,49.5,55,
8941100614631,Life Buoy Refil (180ml),Hand Wash,,,unilever LTD,PCS,48.337,55,
813903000639,Savlon Handwash alovera (200ml),Hand Wash,,,ACI,PCS,49.5,55,
8941100280621,Trix Refil (250ml),Ditergent ,,,Reckit Benkitser,PCS,36,40,
8941100611609,Vim Refil (250ml),Ditergent ,,,unilever LTD,PCS,30.415,35,
8941100282229,Trix Peast (400gm),Ditergent ,,,Reckit Benkitser,PCS,65,80,
813903000301,Savlon Lequid (500ml),Antiseptic,,,ACI,PCS,112,125,
813903000288,Savlon Lequid (1000ml),Antiseptic,,,ACI,PCS,197,220,
8941102833344,Dettol Lequid (500ml),Antiseptic,,,Reckit Benkitser,PCS,126,140,
8941100283233,Dettol Lequid (750ml),Antiseptic,,,Reckit Benkitser,PCS,184.58,205,
8941102833283,Dettol Hand Wash Pump (200ml),Hand Wash,,,Reckit Benkitser,PCS,78,90,
4003583133789,Dulgon Hand Wash Pump (300ml),Hand Wash,,,Other Brand ,PCS,230,275,
4003583133741,Dulgon Hand Wash Pump White (300ml),Hand Wash,,,Other Brand ,PCS,230,275,
8941100614600,Lifebuoy Pump (200ml),Hand Wash,,,unilever LTD,PCS,79.33,90,
200812060312,Roc Floor Cleaner (1000ml),Ditergent ,,,Trade Worth Ltd,PCS,165,200,
8941100289211,Lizol Floor Cleaner Floral (500ml),Ditergent ,,,Reckit Benkitser,PCS,117.5,130,
8941100289419,Lizol Floor Cleaner Levender (500ml),Ditergent ,,,Reckit Benkitser,PCS,112,125,
8850092011208,Vixol Floor Cleaner Red (900ml),Ditergent ,,,Kicco International,PCS,196,250,
8850092012205,Vixol Floor Cleaner Pink (900ml),Ditergent ,,,Kicco International,PCS,196,250,
8850092016111,Vixol Cleaner (450ml),Ditergent ,,,Kicco International,PCS,110,145,
8513695125757,Clean Master Cleaner (750ml),Ditergent ,,,Tibet ,PCS,78.46,95,
8941100500293,Spring Floral,Ditergent ,,,Square Ltd,PCS,180,200,
8809157886220,Air Freshner ,Air Freshner ,,,Shoma Enterprise ,PCS,160,200,
8139003000860,Angelic Orange ,Air Freshner ,,,ACI,PCS,180,200,
5086230025339,Air Freshner Fay,Air Freshner ,,,Kollol Group,PCS,180,200,
8139003000853,Air Freshner ( orchide) ,Air Freshner ,,,ACI,PCS,173,200,
8901157045116,Aer spray (surf blue),Air Freshner ,,,Godrej,PCS,165,200,
813903000035,ACI Arosol (475 ML) ,insecet item ,,,ACI,PCS,200,300,
8901157025217,Arosol (HIT7-500 ML) ,insecet item ,,,Godrej,PCS,226.33,250,
8901157025170,Arosol ( HIT 700ML) ,insecet item ,,,Godrej,PCS,245,299,
8941100500385,Xple arosol 250 ML ,insecet item ,,,Square Ltd,PCS,162,175,
200812060402,Rock Glass clener ,Clener Item ,,,Trade Worth Ltd,PCS,85.7,115,
8906006439627,Mr Muscle ( Kitchen) ,Clener Item ,,,Other Brand ,PCS,150,185,
8941100501238,Chamak Blue 100 ml ,Ditergent ,,,Square Ltd,PCS,24.46,30,
813903000707,Freedom ( Sanitry napkin) ,Pad ,,,ACI,PCS,178,200,
813903000400,Freedom ( Sanitry napkin) Small ,Pad ,,,ACI,PCS,98,110,
8941100500941,Senora ( sanitary napkin) ,Pad ,,,Square Ltd,PCS,80,90,
8941100500040,Senora ( sanitary napkin) Big size ,Pad ,,,Square Ltd,PCS,107,120,
8941100500323,Senora ( Confident )10pads,Pad ,,,Square Ltd,PCS,100,115,
8941100501092,Senora ( Confidence)14pads,Pad ,,,Square Ltd,PCS,138,160,
4902430604697,Whisper (Altra) ,Pad ,,,PNG Ltd ,PCS,128.44,141,
4902430604741,Whisper (Altra) Big size ,Pad ,,,PNG Ltd ,PCS,229.33,253,
4902430613583,Whisper (Maxi fit) ,Pad ,,,PNG Ltd ,PCS,125,140,
4902430541831,Whisper (Maxi Night) ,Pad ,,,PNG Ltd ,PCS,120,150,
8941100501047,Meril ( remover) ,Clener Item ,,,Square Ltd,PCS,30,35,
9556023985578,Jacker original 75gm,Chips ,,,Meridan Ltd,PCS,97,120,
8851322000825,cotton Birds ( Baby ) ,Cotton Birds,,,Kollol Group,PCS,5.41,15,
6927134958104,Tooth pick ,Cotton Birds,,,Other Brand ,PCS,20,25,
8901157003017,Good Nigh (vapouriser) ,insecet item ,,,Godrej,PCS,195.5,225,
8901157003055,Good Night ( Combo),insecet item ,,,Godrej,PCS,125,140,
8901157001136,Good Night ( advance ),insecet item ,,,Godrej,PCS,120,140,
8901157001167,Good Night ( Silver rifil ),insecet item ,,,Godrej,PCS,112.5,135,
8901157001068,Good Night ( Silver rifil ) 45 days ,insecet item ,,,Godrej,PCS,87.5,105,
8906006430150,All out ( rifile ) ,insecet item ,,,Other Brand ,PCS,100,125,
lotte choco pie,Lotte choco pie,Food,,,\N,PCS,16,20,
8941100281222,Mortine Powar gard ,insecet item ,,,Reckit Benkitser,PCS,165,199,
8906006431171,All out ( 60 Nights) ,insecet item ,,,Other Brand ,PCS,125,149,
8901396521105,Mortine Nature Gard ,insecet item ,,,Reckit Benkitser,PCS,180,215,
9415007013390,Diploma 400gm ,Milk ,,,New Zealand  Dairy ,PCS,235,250,
9415007012856,Red Cow 400gm ,Milk ,,,New Zealand  Dairy ,PCS,225,245,
9415007020769,Farrmland Gold ,Milk ,,,New Zealand  Dairy ,PCS,230,250,
9415007512585,Shape Up ,Milk ,,,\N,PCS,330,350,
9415007010913,Anchor 350gm ,Milk ,,,New Zealand  Dairy ,PCS,190,210,
5760466984164,Dano 400gm ,Milk ,,,Arla LTD ,PCS,230,248,
8901542001314,Complin 350gm ( choclate) ,Milk ,,,Transcome ,PCS,339.179,360,
8901542010736,Complan ( memory) 200gm ,Milk ,,,Transcome ,PCS,250,275,
8941100292235,Cerelac ( 3 fruits & milk) ,Milk ,,,Nestle LTD,PCS,307,325,
8941100292211,Cerelac ( rice & milk),Milk ,,,Nestle LTD,PCS,300,315,
8941100292198,Cerelac ( Apple & cherry),Milk ,,,Nestle LTD,PCS,330,350,
8941100292174,Cerelac ( Mix food) ,Milk ,,,Nestle LTD,PCS,374,390,
8901058143607,Lactogen 1,Milk ,,,Nestle LTD,PCS,460,480,
8901058143683,Lactogen 2,Milk ,,,Nestle LTD,PCS,460,480,
8901058143768,Lactogen 3,Milk ,,,Nestle LTD,PCS,450,470,
5760466984201,Dano 500gm ,Milk ,,,Arla LTD ,PCS,278,298,
8301100701081,Fresh Insta 400gm ,Milk ,,,Magna Group ,PCS,225,250,
8941100290507,Nido 2500gm ( tin) ,Milk ,,,Nestle LTD,PCS,1900,2290,
8901499007957,Kelloggs ( chocos)  250gm ,Food,,,Kollol Group,PCS,213,245,
6221012250243,Choco Scoops ( 250 gm) ,Food,,,Union Group,PCS,220,275,
6221012250045,Choco Rice ( 250 gm) ,Food,,,Union Group,PCS,195,235,
6221012250236,Honey Crunch  250gm ,Food,,,Union Group,PCS,180,215,
6221012250083,Corn Flakex  250gm ,Food,,,Union Group,PCS,185,215,
112,Savlon 112 ML ,Antiseptic,,,ACI,PCS,40.04,44,
8941100611610,Vim rifil 500 ml,Clener Item ,,,ACI,PCS,71.5,80,
8941100648636,Lux Sof Touch 150gm-,soap,,,unilever LTD,PCS,38.63,42,
814216221124,Teer Ata 2kg,Food,,,City Group ,PCS,63,68,
8153003000361,ACI ATA 2kg,Food,,,ACI,PCS,63,70,
8301100401042,Fresh atta 2kg,Food,,,Magna Group ,PCS,60.5,68,
8901030005176,Pears lemon flower,soap,,,Panna trading,PCS,95,120,
75162107220,Shaad Maida 2 kg,Food,,,Nother Flower Mills,PCS,86,92,
8153003000521,ACI Maida 2k,Food,,,ACI,PCS,85,92,
8901542013997,Compline Nutrigro 400gm ,Milk ,,,Transcome ,PCS,525,565,
3219947032518,Prima 1,Milk ,,,Abul khair group Ltd ,PCS,525,560,
8906007280716,Fortune  Rich Bran 5 Ltr,Oil ,,,Veol Ltd.,PCS,640,725,
8906007280709,Fortune  Rich Bran 2 Ltr,Oil ,,,Veol Ltd.,PCS,255,335,
8941052022447,Meizan 1ltr,Oil ,,,Veol Ltd.,PCS,82,95,
8941052011045,Rupchanda 1 ltr,Oil ,,,Veol Ltd.,PCS,94,102,
8941052011052,Rupchanda 2 ltr,Oil ,,,Veol Ltd.,PCS,190,205,
7736583652710,veola oil 1 ltr,Oil ,,,Beol Oil ltd ,PCS,103,110,
8941184000573,Rupchanda Mustard oil 1ltr,Oil ,,,Beol Oil ltd ,PCS,175,220,
7736583652727,veola oil 2 ltr,Oil ,,,Beol Oil ltd ,PCS,182,195,
8887155064048,Kings sunflower oil 2 ltr ,Oil ,,,Beol Oil ltd ,PCS,463,535,
8887155064079,Kings sunflower oil 5 ltr,Oil ,,,Beol Oil ltd ,PCS,1107,1275,
5888310000133,pure gold 5 ltr,Oil ,,,Majumder rice brand oil ltd,PCS,520,610,
8007150900947,Olitalia soyben oil 5ltr,Oil ,,,Olitalia Oil ltd,PCS,750,950,
8691313987649,Orkide sunflower oil 5 ltr,Oil ,,,Union Group,PCS,1100,1230,
8941181000132,Mama Noodles chicken 8pac,Food,,,Kollol Group,PCS,115,130,
8941181000149,Mama Noodles 496 gm ( Shrimp),Food,,,Kollol Group,PCS,115,130,
8941181000163,Mama Noodles 496 gm ( hot & spice ),Food,,,Kollol Group,PCS,115,130,
8850356330908,BD Chili Souch ,Oil ,,,BD Foods Ltd ,PCS,141.7,180,
8850356162158,BD Vinager 750 ml ,Food,,,BD Foods Ltd ,PCS,50,60,
8842632733718,Roohfiza 1000 ml ,Food,,,Roo Afza ,PCS,205,250,
831730002282,Pran Hot tomoto sauch 1 ltr ,Food,,,Pran LTD,PCS,156.6,190,
831730002237,Pran tomoto Catchep 1ltr,Food,,,Pran LTD,PCS,156.6,190,
8941181000125,Mama Noodles 310 gm ( hot & spice ),Noodles,,,Kollol Group,PCS,72.5,82,
8823122403311,Ahmed Vinegar 500ml,Vinegar ,,,Ahmed Food Ltd ,PCS,55,65,
8231224033068,Rose wather Small ,Rose watar ,,,Ahmed Food Ltd ,PCS,14,20,
98609444,Well food Noodes ,Noodles,,,Well food ,PCS,15,18,
98609338,Noodles ( Box) ,Noodles,,,Well food ,PCS,38,45,
8941170014645,Sajeeb Noodes ( family pack) ,Noodles,,,Shjeeb group,PCS,27,35,
8941170014683,Sajeeb Noodes ( Tandury) ,Noodles,,,Shjeeb group,PCS,31.16,38,
8901233018157,Oreo 35rs,Biscuit,,,Tasnim Sales & Marketing Company,PCS,72,90,
8301100501025,Fresh salt 1 kg ,Salt ,,,Magna Group ,PCS,24,38,
813163615109,ACI Salt 1 kg ,Salt ,,,ACI,PCS,26.8,38,
8941170015222,Kolson Semai ( Vermichelli ) ,Semai ,,,Shjeeb group,PCS,27.3,35,
571866149801,Kolson Lascha semai ,Semai ,,,Shjeeb group,PCS,25.85,35,
815300000137,ACi Lachcha semai ,Semai ,,,ACI,PCS,25,35,
8850297990230,Tempura flour,Bashon Item ,,,Q&Q Ltd ,PCS,172,200,
8850297990025,Breadcrum BS ,Bashon Item ,,,Q&Q Ltd ,PCS,150,175,
846656003411,Mr. Noodles 496 gm ,Noodles,,,Pran LTD,PCS,110.5,130,
8901207095368,Dabur Honey 1 ltr ,Hunny item ,,,Dabur ,PCS,593,650,
8901207035364,Dabur Honey 250ml ,Hunny item ,,,Dabur ,PCS,181,200,
8697817871019,Freshmaker ,Wet Wips ,,,Other Brand ,PCS,30,40,
8941100293065,Maggi Thai soup 35gm ,Soup ,,,Nestle LTD,PCS,32,35,
8941100293072,Maggi chicken 25 gm 72,Soup ,,,Nestle LTD,PCS,32,35,
8941100612019,Knorr Thai soup classic ,Soup ,,,unilever LTD,PCS,36,40,
831730009472,Pran tomoto sauch ,Sauce,,,Pran LTD,PCS,1.85,3,
8941100615560,Knoor Noodles ( checken) ,Noodles,,,unilever LTD,PCS,15.33,18,
8941100615577,Noor Sizzler ,Noodles,,,unilever LTD,PCS,15.33,18,
831730009250,Pran minicate rice 5kg,Rice ,,,Pran LTD,PCS,295,315,
831730004149,Pran chinigura 1kg,Rice ,,,Pran LTD,PCS,98,120,
5352101732331,Foster Clarks Yellow Jaune,Flavour,,,Q&Q Ltd ,PCS,50,60,
5352101414022,Foster Clarks Green Vert,Flavour,,,Q&Q Ltd ,PCS,50,60,
5352101557224,Foster Clarks Red Rouge,Flavour,,,Q&Q Ltd ,PCS,45,55,
Vanilla 28,Vanilla flavour 28 ml,Flavour,,,Q&Q Ltd ,PCS,45,60,
831730002565,Pran Orenge jelly 400g,Jelly ,,,Pran LTD,PCS,160,195,
Musaffa 500,Musaffa Honey 500g,Hunny item ,,,Musaffa honey,PCS,330,370,
8941170035688,Shezan Mixed Fruit Jam,Jelly ,,,Shjeeb group,PCS,45,60,
831730002473,Pran Orange Jelly 375g,Jelly ,,,Pran LTD,PCS,85,110,
831730001766,Pran Plum Sweet Pickle 350g,Pickle,,,Pran LTD,PCS,80,100,
