product_code,product_name,category_name,subcat_name,description,brand_name,unit_type,purchase_cost,sell_price,min_stock
"0000279","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"220","396","1"
"0000280","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"150","375","1"
"0000281","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"300","510","1"
"0000282","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"280","560","1"
"0000283","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"400","680","1"
"0001628","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"360","576","2"
"0001629","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"250","500","1"
"0001630","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"270","432","2"
"0001631","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"250","450","1"
"0001632","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"360","600.02","1"
"0002196","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"350","700","1"
"0002198","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"160","320","1"
"0002199","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"190","380","1"
"0002200","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"260","520","1"
"0002201","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"250","475","1"
"0000284","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"450","765","1"
"0000399","Pagri","Wedding Accessories","Pagri",\N,\N,\N,"220","485","1"
"0000403","Pagri","Wedding Accessories","Pagri",\N,\N,\N,"210","380","1"
"0001974","Pagri","Wedding Accessories","Pagri",\N,\N,\N,"300","600","1"
"0002197","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"420","760","1"
"0000958","Rakhi","Wedding Accessories","Rakhi",\N,\N,\N,"65","200","2"
"0000959","Rakhi","Wedding Accessories","Rakhi",\N,\N,\N,"100","150","2"
"0001177","Rakhi Jumka","Wedding Accessories","Rakhi",\N,\N,\N,"64","200","3"
"0001934","Rakhi","Wedding Accessories","Rakhi",\N,\N,\N,"40","100","2"
"0002716","Rakhi","Wedding Accessories","Rakhi",\N,\N,\N,"47","95","1"
"0002717","Rakhi","Wedding Accessories","Rakhi",\N,\N,\N,"58","100","1"
"0000285","Gohona Set","Wedding Accessories","Gohona",\N,\N,\N,"227","385.9","1"
"0001641","Gohna Set","Wedding Accessories","Gohona",\N,\N,\N,"260","455","1"
"6291012829022","Forever","Body Spray","Forever",\N,\N,\N,"105","150.15","2"
"3562700361005","Jaguar Perfume","perfume","Jaguar",\N,\N,\N,"1070","1449.85","1"
"3014230021404","Brut Body Spray","Body Spray","Brut",\N,\N,\N,"160","240","1"
"6291100179466","Active Man Perfume","perfume","Active Man",\N,\N,\N,"550","935","1"
"9556311226598","Diamond Brush ","Toothbrush","Diamond Brush",\N,\N,\N,"85","140","2"
"5013965825804","Camay Soap","SHOAP","Camay Shoap",\N,\N,\N,"80","108","1"
"8851932273916","Sunsilk 650 ml","shampoo","Sunsilk",\N,\N,\N,"480","720","1"
"0000295","Bruce Lee Body Spray","Body Spray","Bruce Lee Bar",\N,\N,\N,"180","270","2"
"4005808300280","Nivea Men Roll","Dedorant Roll","Nivea",\N,\N,\N,"120","160","2"
"8901177101014","Moov","CREAM","Moov",\N,\N,\N,"155","255","1"
"0002214","Moov M","CREAM","Moov",\N,\N,\N,"84","126","2"
"8901177100352","Moov Spray","CREAM","Moov",\N,\N,\N,"125","175","1"
"0000298","Yardley Powder","powder","Yardley",\N,\N,\N,"265","349.8","1"
"0000299","Air Freshner","Room Spray","Air Freshner",\N,\N,\N,"130","200.2","2"
"6291012841093","Forever Perfume Men","perfume","Forever",\N,\N,\N,"135","280.13","2"
"6281006437548","Dove 700 ml","shampoo","Dove",\N,\N,\N,"500","750","2"
"8718114621371","Dove Shampoo","shampoo","Dove",\N,\N,\N,"165","250","1"
"0000830","Dove 375ml","shampoo","Dove",\N,\N,\N,"275","385","2"
"8941100650226","Dove Shampoo","shampoo","Dove",\N,\N,\N,"275","320.1","4"
"8851932227544","Dove Shampoo","shampoo","Dove",\N,\N,\N,"410","575","1"
"8851932227872","Dove Shampoo","shampoo","Dove",\N,\N,\N,"410","575","1"
"8851932351188","Dove Shampoo","shampoo","Dove",\N,\N,\N,"410","575","1"
"8851932275163","Dove Shampoo 700ml","shampoo","Dove",\N,\N,\N,"590","885","1"
"8851932227704","Dove Shampoo 700ml","shampoo","Dove",\N,\N,\N,"540","740","1"
"4902806008036","Gatsbty Hair Spray","Hair Spray","Gatsby",\N,\N,\N,"250","375","1"
"0000304","Moon Drob","perfume","Moon Drob",\N,\N,\N,"450","672","2"
"0000305","Blu Drop","perfume","Blu Drop",\N,\N,\N,"450","765","1"
"6281031091241","Fa Aqua","SHOAP","Fa",\N,\N,\N,"82","130.06","2"
"715387003017","hot cold","perfume","hot cold",\N,\N,\N,"580","754","1"
"8901088062497","Set Wet Hair Gel","hair gel","hair  gel",\N,\N,\N,"85","170","1"
"8901088062503","Set Wet Hair Gel","hair gel","hair  gel",\N,\N,\N,"85","170","1"
"8901088062480","Set Wet Hair Gel","hair gel","hair  gel",\N,\N,\N,"85","170","1"
"5414666002257","Everyone Perfume","perfume","perfume ",\N,\N,\N,"400","860","1"
"3355991002074","Bogart","perfume","perfume ",\N,\N,\N,"820","1100.45","1"
"6295124001888","Black Car","perfume","perfume ",\N,\N,\N,"250","550","2"
"6291100630196","One for men","perfume","perfume ",\N,\N,\N,"180","350.1","2"
"6291100630202","Dark Zone","perfume","perfume ",\N,\N,\N,"180","400.14","2"
"4005900332950","Nivea","perfume","perfume ",\N,\N,\N,"260","350","2"
"8908001158589","Fogg Perfume","perfume","perfume ",\N,\N,\N,"280","395","2"
"088021511125","Cute Perfume","perfume","perfume ",\N,\N,\N,"165","199.65","2"
"0000943","Cute Perfume Purple","perfume","perfume ",\N,\N,\N,"190","225","2"
"6291012841840","Forever Perfume Women","perfume","perfume ",\N,\N,\N,"135","540","1"
"3252550115025","Open Roger & Gallet","perfume","perfume ",\N,\N,\N,"860","1290","1"
"752590090342","Eternal Love Perfume","perfume","perfume ",\N,\N,\N,"920","1220","1"
"5414666002288","Pure Black Perfume","perfume","perfume ",\N,\N,\N,"400","680","1"
"614514480137","Blue for Men","perfume","perfume ",\N,\N,\N,"500","700","1"
"3610400000301","DO IT Scent","perfume","perfume ",\N,\N,\N,"340","510","1"
"3610400000332","El paso Perfume","perfume","perfume ",\N,\N,\N,"280","560","1"
"037361000288","Game Of Paris","perfume","perfume ",\N,\N,\N,"175","300.13","1"
"3326240000066","Jasmin perfume","perfume","perfume ",\N,\N,\N,"430","645","1"
"6291100630189","Cold Sky Perfume","perfume","perfume ",\N,\N,\N,"180","900","1"
"3442151006291","Incidence Perfume","perfume","perfume ",\N,\N,\N,"590","945.01","1"
"752590033349","Eternal Love Perfume","perfume","perfume ",\N,\N,\N,"920","1295","1"
"8903105011471","Aramusk Classic Perfume","perfume","perfume ",\N,\N,\N,"280","350","1"
"8903105011488","Aramusk Sport Perfume","perfume","perfume ",\N,\N,\N,"280","350","1"
"8903105011464","Aramusk Musk Perfume","perfume","perfume ",\N,\N,\N,"280","350","1"
"6295124024726","Disguise Women Perfume","perfume","perfume ",\N,\N,\N,"480","750","1"
"6295124024672","Disguise Women Perfume","perfume","perfume ",\N,\N,\N,"480","750","1"
